City1,Lat1,Long1,City2,Lat2,Long2,Year,Passenger_Trips,Seats
Kuantan,3.77539,103.209,Kuala Lumpur,2.74558,101.71,2020,5,328500
Kuala Lumpur,2.74558,101.71,Kota Kinabalu,5.93721,116.051,2020,32,2102400
Kuala Lumpur,2.74558,101.71,Labuan,5.30068,115.25,2020,4,262800
Kuala Lumpur,2.74558,101.71,Sandakan,5.9009,118.059,2020,7,475230
Kuala Lumpur,2.74558,101.71,Kuching,1.4847,110.347,2020,27,1773900
Kuala Lumpur,2.74558,101.71,Bintulu,3.12385,113.02,2020,5,339450
Kuala Lumpur,2.74558,101.71,Miri,4.32201,113.987,2020,9,611010
Kuala Lumpur,2.74558,101.71,Tawau,4.32016,118.128,2020,9,1238445
Kuala Lumpur,2.74558,101.71,Sibu,2.2616,111.985,2020,10,678900
Kuala Lumpur,2.74558,101.71,Alor Setar,6.18967,100.398,2020,8,543120
Kuala Lumpur,2.74558,101.71,Johor Bahru,1.64131,103.67,2020,18,1222020
Kuala Lumpur,2.74558,101.71,Penang,5.29714,100.277,2020,25,2226500
Kuala Lumpur,2.74558,101.71,Kuala Terengganu,5.38264,103.103,2020,8,712480
Kuala Lumpur,2.74558,101.71,Kuantan,3.77539,103.209,2020,5,328500
Kuala Lumpur,2.74558,101.71,Langkawi,6.32973,99.7287,2020,22,1445400
Kuala Lumpur,2.74558,101.71,Kota Baharu,6.16685,102.293,2020,11,746790
Labuan,5.30068,115.25,Kuala Lumpur,2.74558,101.71,2020,4,271560
Langkawi,6.32973,99.7287,Penang,5.29714,100.277,2020,6,394200
Langkawi,6.32973,99.7287,Ipoh,4.56797,101.092,2020,1,67890
Langkawi,6.32973,99.7287,Kuala Lumpur,2.74558,101.71,2020,20,1357800
Langkawi,6.32973,99.7287,Johor Bahru,1.64131,103.67,2020,1,67890
Malacca,2.26336,102.252,Penang,5.29714,100.277,2020,2,135780
Miri,4.32201,113.987,Johor Bahru,1.64131,103.67,2020,1,65700
Miri,4.32201,113.987,Kuala Lumpur,2.74558,101.71,2020,9,611010
Miri,4.32201,113.987,Kota Kinabalu,5.93721,116.051,2020,4,262800
Miri,4.32201,113.987,Kuching,1.4847,110.347,2020,9,611010
